#parameter	p1	p2	distribution	minCI95	maxCI95	equation
PGLM_PGLM_Kmp	0.01054	0.0009	lognormal	0	0	
PGLM_PGLM_Kms	0.04	0.005	lognormal	0	0	
PGLM_PGLM_Vmax	2078	218	lognormal	0	0	
UPP_Keq	0.24	0.08	lognormal	0	0	
UPP_KmA	0.97	0.08	lognormal	0	0	
UPP_KmB	0.4	0.051	lognormal	0	0	
UPP_KmP	0.063	0.0006	lognormal	0	0	
UPP_KmQ	0.38	0.036	lognormal	0	0	
UPP_Vmax	200	21	lognormal	0	0	
GS_GS	0.003	1.00E-010	lognormal	0	0	
GS_Kcat	1004	381.52	lognormal	0	0	
GS_KprATP	15.92	6.08	lognormal	0	0	
GS_KptATP	3.93	1.13	lognormal	0	0	
GS_KrATP	4.94	1.59	lognormal	0	0	
GS_KrGlc6P	0.0676	0.015	lognormal	0	0	
GS_KtATP	2.33	0.89	lognormal	0	0	
GS_KtGlc6P	0.29	0.093	lognormal	0	0	
GS_Kudpg	0.72	0.16	lognormal	0	0	
GS_L	0.25	0.0625	lognormal	0	0	
GS_n	4	1.00E-010	lognormal	0	0	
GP_GP_KGlyb	0.15	0.03	lognormal	0	0	
GP_GP_KGlyf	1.7	0.4	lognormal	0	0	
GP_GP_Keq	0.36	0.2556	lognormal	0	0	
GP_GP_KiGlc1P	10.1	2.5	lognormal	0	0	
GP_GP_KiGlyb	4.4	1.9	lognormal	0	0	
GP_GP_KiGlyf	15	6.45	lognormal	0	0	
GP_GP_Kipi	4.6	2	lognormal	0	0	
GP_GP_Kpi	4	0.8	lognormal	0	0	
GP_GP_Vmaxf	31.446	0.917	lognormal	0	0	
PPASE_PPASE_Km	0.96	0.35	lognormal	0	0	
PPASE_PPASE_V	0.36	0.2556	lognormal	0	0	
NDK_NDK_Keq	1	0.7	lognormal	0	0	
NDK_NDK_KmADP	0.0575	0.02	lognormal	0	0	
NDK_NDK_KmATP	1.49	0.23	lognormal	0	0	
NDK_NDK_KmUDP	0.17	0.02	lognormal	0	0	
NDK_NDK_KmUTP	21.5	7.77	lognormal	0	0	
NDK_NDK_Vmax	8.50E-006	6.04E-006	lognormal	0	0	

